sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
femenino;industria;fabrica_de_;santa_cruz;2;2.0;2018-07-09;4500000.0;microempresarial
masculino;comercio;variedades;robledo;2;7.0;2017-01-17;7377000.0;microempresarial
masculino;industria;fabrica_de_;pablo_vi;2;2.0;2017-05-16;7000000.0;microempresarial
femenino;servicio;comidas_rapidas;boyaca;3;5.0;2018-03-06;6000000.0;microempresarial
masculino;servicio;variedades;robledo;2;7.0;2016-12-30;4000000.0;microempresarial
femenino;comercio;tienda;manrique_central_no__2;2;3.0;2016-05-06;3500000.0;microempresarial
femenino;industria;fabrica_de_;robledo;2;7.0;2018-07-10;3800000.0;microempresarial
masculino;comercio;cafeteria;santa_cruz;2;2.0;2018-08-08;7800000.0;microempresarial
femenino;comercio;variedades;belen;3;16.0;2017-07-12;7370000.0;microempresarial
femenino;comercio;variedades;la_francia;2;2.0;2018-08-01;6000000.0;microempresarial
masculino;comercio;legumbreria;pedregal;3;6.0;2018-03-15;7800000.0;microempresarial
masculino;comercio;variedades;campo_valdes_no__1;3;4.0;2018-03-07;7000000.0;microempresarial
masculino;comercio;restaurante;boyaca;3;5.0;2017-05-05;6000000.0;microempresarial
femenino;comercio;almacen_de_ropa_en_;robledo;1;7.0;2017-05-17;6000000.0;microempresarial
femenino;comercio;variedades;prado;3;10.0;2016-04-18;6890000.0;microempresarial
femenino;servicio;servicios_;robledo;2;7.0;2017-07-19;7300000.0;microempresarial
femenino;comercio;distribuidora_de_;cabecera_san_cristobal;2;60.0;2017-08-17;4000000.0;microempresarial
femenino;industria;fabrica_de_;picacho;1;6.0;2016-09-07;4000000.0;microempresarial
femenino;comercio;fabrica_de_;santa_cruz;2;2.0;2018-07-18;7812000.0;microempresarial
masculino;industria;fabrica_de_;doce_de_octubre_no_1;1;6.0;2017-05-31;5000000.0;microempresarial
femenino;comercio;variedades;picacho;2;6.0;2018-07-04;5000000.0;microempresarial
femenino;servicio;mantenimiento_en_;san_joaquin;3;11.0;2018-08-09;7800000.0;microempresarial
femenino;comercio;variedades;castilla;3;5.0;2016-09-02;6000000.0;microempresarial
masculino;servicio;mantenimiento_en_;la_america;3;12.0;2016-05-10;6890000.0;microempresarial
masculino;industria;fabrica_de_;robledo;2;7.0;2017-11-15;5000000.0;microempresarial
